In 1774, delegates from 12 colonies met for the first time in Philadelphia, Pennsylvania, boycotted British goods, and wrote King George III a letter asking him to rescind the Intolerable Acts. What was this meeting called?;First Continental Congress
In the House of Burgesses in Virginia, who stated, 'Give me liberty or give me death'?;Patrick Henry
Which colonist said this: 'A man’s house is his castle,' and 'No taxation without representation'?;James Otis
Who wanted a strong, federal government and favored the Constitution?;John Jay, Alexander Hamilton, and James Madison
Who was against the Constitution and wanted a weaker federal government and stronger state governments?;The Anti-Federalists such as Patrick Henry, Thomas Jefferson, Sam Adams, and James Monroe
What is a list of 10 individual and states’ rights the federal government can never infringe upon?;The Bill of Rights
John Jay, Alexander Hamilton, and James Madison wrote a series of essays to persuade Americans to adopt the Constitution. What are these called?;The Federalist Papers
What was a group of people united by a single cause that tried to influence the government to agree with their cause called in the early days of the American republic?;A faction
What is another way of saying tyranny?;Despotism
What is called a limit of how many times a politician can be elected to one office?;Term limit
Who is called the Father of the Constitution?;James Madison
